procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30085604 221172 30874408    0    0     0    40 3947 4567  6  0 94  0  0
 1  0      0 30081508 221172 30874412    0    0     0    72 3741 4531  6  0 94  0  0
 1  0      0 30081508 221180 30874408    0    0     0    40 3930 5692  6  0 94  0  0
 1  0      0 30081508 221180 30874424    0    0     0     0 3657 5453  6  0 94  0  0
 1  0      0 30081508 221188 30874420    0    0     0    32 3771 5152  7  0 93  0  0
 1  0      0 30081508 221188 30874464    0    0     0     0 3915 4531  6  0 94  0  0
 1  0      0 30077412 221188 30874472    0    0     0    76 3905 4540  6  0 94  0  0
 1  0      0 30077412 221188 30874472    0    0     0     0 3854 4541  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30073316 221188 30874480    0    0     0     0 3799 4484  6  0 94  0  0
 1  0      0 30073316 221196 30874476    0    0     0    36 3770 4339  6  0 94  0  0
 1  0      0 30073316 221196 30874492    0    0     0     0 3654 4348  6  0 94  0  0
 1  0      0 30069220 221196 30874492    0    0     0    52 3602 4324  6  0 94  0  0
 1  0      0 30069220 221196 30874520    0    0     0     0 3750 4483  6  0 94  0  0
 1  0      0 30065124 221196 30874520    0    0     0     0 3784 4585  6  0 94  0  0
 1  0      0 30061028 221204 30874516    0    0     0    16 3732 5204  7  0 93  0  0
 1  0      0 30056428 221204 30874560    0    0     0    20 3708 4684  6  0 94  0  0
 1  0      0 30055420 221204 30874568    0    0     0     0 3718 4399  6  0 94  0  0
 2  0      0 30094408 221204 30874568    0    0     0    96 4188 5607  7  0 93  0  0
 1  0      0 30163272 221212 30874572    0    0     0    16 4236 4635  6  0 94  0  0
 1  0      0 30163272 221220 30874572    0    0     0    36 3445 4793  6  0 94  0  0
 1  0      0 30158736 221220 30874588    0    0     0     0 3759 5433  6  0 94  0  0
 1  0      0 30152624 221220 30874596    0    0     0     0 3737 5647  6  0 94  0  0
 1  0      0 30148528 221220 30874600    0    0     0     0 3527 4538  6  0 94  0  0
 1  0      0 30148528 221220 30874604    0    0     0    48 3618 4412  6  0 94  0  0
 1  0      0 30147268 221228 30874600    0    0     0    36 3805 5284  7  0 93  0  0
 1  0      0 30142920 221228 30874648    0    0     0     0 3791 4655  6  0 94  0  0
 1  0      0 30133972 221236 30874652    0    0     0    44 3669 4623  6  0 94  0  0
 1  0      0 30129876 221236 30874656    0    0     0     0 3484 4632  6  0 93  0  0
 1  0      0 30129876 221236 30874680    0    0     0     0 3654 4839  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30121684 221244 30874680    0    0     0   116 3769 4733  6  0 94  0  0
 1  0      0 30117588 221244 30874688    0    0     0     0 3728 5367  6  0 93  0  0
 1  0      0 30113492 221252 30874700    0    0     0    20 3563 5144  6  0 94  0  0
 1  0      0 30113492 221252 30874704    0    0     0     0 3438 4207  6  0 94  0  0
 1  0      0 30105300 221252 30874708    0    0     0     0 3655 4506  6  0 94  0  0
 1  0      0 30101204 221260 30874704    0    0     0    16 3639 5513  7  0 93  0  0
 1  0      0 30097108 221260 30874752    0    0     0    76 3698 4907  6  0 94  0  0
 1  0      0 30092760 221260 30874756    0    0     0     0 3790 5231  6  0 94  0  0
 1  0      0 30088664 221260 30874760    0    0     0     0 3671 5145  6  0 94  0  0
 1  0      0 30088664 221260 30874768    0    0     0     0 3448 4672  6  0 94  0  0
 1  0      0 30080472 221268 30874760    0    0     0    36 3750 5424  6  0 93  0  0
 1  0      0 30080472 221268 30874776    0    0     0     0 3776 6021  6  0 94  0  0
 1  0      0 30076376 221268 30874780    0    0     0    40 3651 4698  6  0 94  0  0
 1  0      0 30070328 221268 30885624    0    0     0     0 3899 32985  6  1 93  0  0
 1  0      0 30070076 221268 30885776    0    0     0    64 3709 5947  6  0 94  0  0
 1  0      0 30069572 221276 30886280    0    0     0    32 3763 7213  7  0 93  0  0
 1  0      0 30065224 221276 30886324    0    0     0     0 3676 5869  6  0 94  0  0
 1  0      0 30064468 221276 30886988    0    0     0     0 3624 6323  6  0 94  0  0
 1  0      0 30060120 221284 30887364    0    0     0   104 3624 6243  6  0 94  0  0
 1  0      0 30059868 221284 30887632    0    0     0    12 3658 5768  6  0 94  0  0
 1  0      0 30059364 221292 30888240    0    0     0    36 3439 5480  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30058860 221292 30888588    0    0     0    24 3591 5683  6  0 94  0  0
 1  0      0 30046320 221292 30888988    0    0     0     0 3685 5479  6  0 94  0  0
 1  0      0 30045312 221300 30889696    0    0     0    24 3762 7030  6  0 94  0  0
